barcode,product_name,brands,primary_brand,query_category,off_categories,primary_country,nova_group,nutriscore_grade,energy_kcal,fat_100g,saturated_fat_100g,carbs_100g,sugars_100g,protein_100g,salt_100g,image_url,health_wash_score_v1,upf_markers_found,functional_claims_found,negative_claims_found,has_artificial_sweetener,ht_sugar_loophole,ht_protein_masks_fat,ht_fibre_distraction,ht_vegan_calorie_trap,tier,sampling_reason
7613269335122,Langues Acidulées,gomz,gomz,snacks,"Snacks,Sweet snacks,Confectioneries,Candies,Gummi candies,fr:Bonbons acidulées,fr:Bonbons acidulés,fr:Langues acidulées","France,Switzerland",4.0,D,332.0,0.5,0.5,72.0,46.0,3.3,0.19,https://images.openfoodfacts.org/images/products/761/326/933/5122/front_fr.28.400.jpg,6.0,starch|acid_regulator,adaptogen_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:gomz
7613269335146,Poissons Acidulés,gomz,gomz,snacks,"Snacks, Snacks sucrés, Confiseries, Bonbons",Switzerland,4.0,D,330.5,0.5,0.5,78.0,49.0,3.5,0.18,https://images.openfoodfacts.org/images/products/761/326/933/5146/front_fr.10.400.jpg,15.0,glucose_syrup|starch|acid_regulator,adaptogen_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:gomz
7702001041923,Yox con Defensis Fresa,alpina,alpina,beverages,"Bebidas, Lácteos, Comidas fermentadas, Postres, Productos fermentados de la leche, Postres lácteos, Bebida lácteas, en:Fermented dairy desserts, Bebidas fermentadas, en:Fermented dairy desserts with fruits, Bebidas de leche fermentada, Yogures, Yogures de frutas, Yogures para beber, Yogures con fresa",Colombia,4.0,E,81.0,2.0,1.0,16.0,11.0,3.0,0.0875,https://images.openfoodfacts.org/images/products/770/200/104/1923/front_es.4.400.jpg,6.0,thickener|colour,fortification_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:alpina
7702001041961,Yox con Defensis Multifrutas,alpina,alpina,beverages,"Beverages, Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Dairy drinks, Fermented dairy desserts, Fermented dairy desserts with fruits, Fermented drinks, Yogurts, Fermented milk drinks, Fruit yogurts, Drinkable-yogurts, en:yogurt-drinks",Colombia,4.0,E,90.0,2.0,1.0,16.0,11.0,3.0,0.0875,https://images.openfoodfacts.org/images/products/770/200/104/1961/front_es.16.400.jpg,6.0,thickener|colour,fortification_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:alpina
7702001042005,Yox con Defensis Melocotón,alpina,alpina,beverages,"Bebidas, Lácteos, Comidas fermentadas, Postres, Productos fermentados de la leche, Postres lácteos, en:Fermented dairy desserts, Bebidas fermentadas, en:Fermented dairy desserts with fruits, Yogures, Yogures de frutas, Yogures con melocotón",Colombia,4.0,E,82.0,2.0,1.3,13.0,8.3,2.9,0.0,https://images.openfoodfacts.org/images/products/770/200/104/2005/front_es.40.400.jpg,6.0,thickener|colour,fortification_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:alpina
7702001113026,Yox con Defensis Naranja Miel,alpina,alpina,beverages,"Bebidas, Lácteos, Comidas fermentadas, Postres, Productos fermentados de la leche, Postres lácteos, Bebida lácteas, en:Fermented dairy desserts, Bebidas fermentadas, Bebidas de leche fermentada, Yogures, Yogures para beber",Colombia,4.0,E,90.0,2.0,1.0,16.0,11.0,3.0,0.0875,https://images.openfoodfacts.org/images/products/770/200/111/3026/front_es.4.400.jpg,6.0,thickener|colour,fortification_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:alpina
7702001162543,Yox con Mentalis Manzana Verde,alpina,alpina,beverages,"Bebidas, Lácteos, Comidas fermentadas, Postres, Productos fermentados de la leche, Postres lácteos, Bebida lácteas, en:Fermented dairy desserts, Bebidas fermentadas, en:Fermented dairy desserts with fruits, Bebidas de leche fermentada, Yogures, Yogures de frutas",Colombia,4.0,D,78.0,1.6,1.3,13.0,8.6,2.9,0.09,https://images.openfoodfacts.org/images/products/770/200/116/2543/front_es.3.400.jpg,6.0,thickener|colour,fortification_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:alpina
7702001162550,Yox con Mentalis Frutos Rojos,alpina,alpina,beverages,"Bebidas, Lácteos, Comidas fermentadas, Postres, Productos fermentados de la leche, Postres lácteos, Bebida lácteas, en:Fermented dairy desserts, Bebidas fermentadas, en:Fermented dairy desserts with fruits, Bebidas de leche fermentada, Yogures, Yogures de frutas, Yogures para beber",Colombia,4.0,E,73.0,1.5,1.1,15.0,10.0,2.8,0.0875,https://images.openfoodfacts.org/images/products/770/200/116/2550/front_es.3.400.jpg,6.0,thickener|colour,fortification_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:alpina
7790742564023,Bebible Frutilla,la serenísima,la serenisima,beverages,"Bebidas, Lácteos, Comidas fermentadas, Postres, Productos fermentados de la leche, Postres lácteos, Bebida lácteas, en:Fermented dairy desserts, Bebidas fermentadas, Bebidas de leche fermentada, Yogures, Yogures para beber",Argentina,4.0,D,49.2,0.0,0.0,10.4,4.8,1.36,0.159,https://images.openfoodfacts.org/images/products/779/074/256/4023/front_es.6.400.jpg,24.0,artificial_sweetener|thickener|maltodextrin|colour,fortification_claim,,1.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:la serenisima
7790742671653,Sense Caramel - Cabrales,la serenisima,la serenisima,plant-based-foods,"Lácteos,Café",Argentina,4.0,D,,,,,,,,https://images.openfoodfacts.org/images/products/779/074/267/1653/front_en.16.400.jpg,3.0,colour,fortification_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:la serenisima
7790742672650,Sense Caramel,"la serenísima,cabrales",la serenisima,beverages,"Bebidas, Lácteos, Bebida lácteas, Bebidas de café, en:coffee-drinks-with-milk",Argentina,4.0,E,,,,,,,,https://images.openfoodfacts.org/images/products/779/074/267/2650/front_es.4.400.jpg,3.0,colour,fortification_claim,,1.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:la serenisima
7790742872654,Sense Caramel,"la serenísima, sense",la serenisima,beverages,"Bebidas y preparaciones de bebidas,Bebidas,Lácteos,en:Specific products,Bebida lácteas,en:Products for specific diets,Bebidas endulzadas artificialmente,Productos sin gluten,Bebidas no alcohólicas,Bebidas de café,Bebidas con sabor,Bebidas azucaradas,Café con leche con azúcar","Argentina,Bolivia,Spain",4.0,E,51.0,1.3,0.8,7.5,7.0,2.05,0.28,https://images.openfoodfacts.org/images/products/779/074/287/2654/front_es.8.400.jpg,3.0,colour,fortification_claim,,1.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:la serenisima
